pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
11495,Simone Arianne Biles,F,19,143,47,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault
11671,Suzanne Brigit Sue Bird,F,31,175,66,USA,2012,London,Basketball,Basketball Women's Basketball
11671,Suzanne Brigit Sue Bird,F,35,175,66,USA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball
11739,Vera Leonidovna Biryukova,F,18,168,47,RUS,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
12086,Yohan Blake,M,22,180,80,JAM,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay
12086,Yohan Blake,M,26,180,80,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay
12290,Irina Valeryevna Bliznova,F,29,182,68,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball
12291,Anastasiya Ilyinichna Bliznyuk,F,18,173,51,RUS,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
12291,Anastasiya Ilyinichna Bliznyuk,F,22,173,51,RUS,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
12399,Pernille Blume,F,22,170,58,DEN,2016,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle
12496,Vladlena Eduardovna Bobrovnikova,F,28,180,72,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball
13029,Usain St. Leo Bolt,M,25,196,95,JAM,2012,London,Athletics,Athletics Men's 100 metres
13029,Usain St. Leo Bolt,M,25,196,95,JAM,2012,London,Athletics,Athletics Men's 200 metres
13029,Usain St. Leo Bolt,M,25,196,95,JAM,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay
13029,Usain St. Leo Bolt,M,29,196,95,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres
13029,Usain St. Leo Bolt,M,29,196,95,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres
13029,Usain St. Leo Bolt,M,29,196,95,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay
13120,Hamish Byron Bond,M,26,189,89,NZL,2012,London,Rowing,Rowing Men's Coxless Pairs
13120,Hamish Byron Bond,M,30,189,89,NZL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs
13369,Rachel Kristine Bootsma,F,18,173,66,USA,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay
